CHANNEL|TGL|START_TIME|END_TIME|NAMA_BRAND|slot_name|PRICE|ADVERTISER|AGENCY|PROVIDER
DISC|01/10/2018|17:30:45|17:31:00|SASA SANTAN|Premium|0|PT. SASA INTI|UseeTV|Mediahub
DISC|02/10/2018|12:25:06|12:25:21|SASA SANTAN|Regular|0|PT. SASA INTI|UseeTV|Mediahub
