CHANNEL|TGL|START_TIME|END_TIME|NAMA_BRAND|SLOT_NAME|PRICE|NET_PRICE|ADVERTISER|AGENCY|PO_NUMBER|STATUS|PROVIDER
FSP1|03/12/2018|19:26:52|19:27:22|MANDIRI,MANDIRI PAYROLL 30S|PRIME|3000000|1500000|PT. BANK MANDIRI PERSERO|DWISAPTA|TEL 772/ADS000/DTV A1010300/2018|Play|UseeTV
FSP1|03/12/2018|18:49:09|18:49:39|MANDIRI, MANDIRI BISNIS 30S|PRIME|3000000|1558443|PT. BANK MANDIRI PERSERO|DWISAPTA|TEL 773/ADS000/DTV A1010300/2018|Play|UseeTV
KIXC|03/12/2018|22:26:35|22:26:50|LA ICE,KING OF ICE REV 15S|PRIME|3000000|450000|PT DJARUM|MEGAPRO|TEL 662/ADS000/DTV A1010300/2018|Play|UseeTV
KIXC|03/12/2018|22:26:15|22:26:30|LA ICE,KING OF ICE REV 15S|PRIME|3000000|450000|PT DJARUM|MEGAPRO|TEL 662/ADS000/DTV A1010300/2018|Play|UseeTV
KIXC|03/12/2018|22:25:54|22:26:09|LA ICE,KING OF ICE REV 15S|PRIME|3000000|450000|PT DJARUM|MEGAPRO|TEL 662/ADS000/DTV A1010300/2018|Play|UseeTV
KIXC|03/12/2018|22:25:35|22:25:50|LA ICE,KING OF ICE REV 15S|PRIME|3000000|450000|PT DJARUM|MEGAPRO|TEL 662/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|18:58:52|18:59:22|IFLIX,ALONG WITH THE GODS|PRIME|3000000|24000000|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|18:58:37|18:58:52|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|17:58:48|17:59:18|IFLIX,ALONG WITH THE GODS|PRIME|3000000|24000000|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|17:58:33|17:58:48|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|17:03:44|17:04:14|IFLIX,ALONG WITH THE GODS|PRIME|3000000|24000000|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|17:03:29|17:03:44|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|14:04:18|14:04:48|IFLIX,ALONG WITH THE GODS|PRIME|3000000|24000000|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|13:05:27|13:05:57|IFLIX,ALONG WITH THE GODS|PRIME|3000000|24000000|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|12:05:44|12:06:14|IFLIX,ALONG WITH THE GODS|PRIME|3000000|24000000|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|11:06:10|11:06:25|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|09:55:25|09:55:40|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
KPLS|03/12/2018|08:58:45|08:59:00|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|17:49:24|17:49:54|IFLIX,ALONG WITH THE GODS|PRIME|4000000|800495|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|17:16:43|17:16:58|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|4000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|17:16:13|17:16:43|MANDIRI,MANDIRI KPR 30S|PRIME|4000000|500000|PT. BANK MANDIRI PERSERO|DWISAPTA|TEL 765/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|17:15:58|17:16:13|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|4000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|09:58:55|09:59:10|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|4000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|09:57:40|09:57:55|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|4000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|08:57:25|08:57:55|IFLIX,ALONG WITH THE GODS|PRIME|4000000|800495|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
NGCH|03/12/2018|09:57:10|09:57:40|ASTRA,ROSMIATI 30S|ROS|700000|3000000|PT. ASTRA INTERNATIONAL|PT OPTIMA MEDIA DINAMIKA|TEL 698/ADS000/DTV A1010300/2018|Play|UseeTV
NGPL|03/12/2018|09:18:54|09:19:09|FIESTA,TUGAS KELOMPOK 15S|ROS|700000|204567|PT PRIMAFOOD INTERNATIONAL|DWISAPTA|TEL 766/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|19:29:20|19:29:50|MANDIRI, MANDIRI BISNIS 30S|PRIME|4000000|1558443|PT. BANK MANDIRI PERSERO|DWISAPTA|TEL 773/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|18:30:07|18:30:37|IFLIX,ALONG WITH THE GODS|PRIME|4000000|800495|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|18:29:37|18:30:07|MANDIRI, MANDIRI BISNIS 30S|PRIME|4000000|1558443|PT. BANK MANDIRI PERSERO|DWISAPTA|TEL 773/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|18:29:07|18:29:37|HAKUHODO, DRAMA PERCINTAAN 30S|PRIME|4000000|800000|PT HARDANA WIDYA MAHIR|PT. INTER PARIWARA GLOBAL|TEL 717/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|17:30:27|17:30:57|MANDIRI, MANDIRI BISNIS 30S|PRIME|4000000|1558443|PT. BANK MANDIRI PERSERO|DWISAPTA|TEL 773/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|17:28:57|17:29:27|HAKUHODO, DRAMA PERCINTAAN 30S|PRIME|4000000|800000|PT HARDANA WIDYA MAHIR|PT. INTER PARIWARA GLOBAL|TEL 717/ADS000/DTV A1010300/2018|Play|UseeTV
NGWL|03/12/2018|08:29:16|08:29:46|IFLIX,ALONG WITH THE GODS|PRIME|4000000|800495|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|PT KANTOR PERWAKILAN INDONESIA IFLIX SDN.BHD|TEL 776/ADS000/DTV A1010300/2018|Play|UseeTV
SONE|03/12/2018|19:07:26|19:07:41|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
SONE|03/12/2018|18:36:17|18:36:32|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
SONE|03/12/2018|18:19:40|18:19:55|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
SONE|03/12/2018|13:58:40|13:58:55|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
SONE|03/12/2018|11:03:17|11:03:32|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
SONE|03/12/2018|10:31:35|10:31:50|LACTOGROW, LACTOGROW 3DAN4 HAPPY SONG 15S|PRIME|3000000|3600000|NESTLE|MINDSHARE|TEL 782/ADS000/DTV A1010300/2018|Play|UseeTV
FAMV|03/12/2018|20:54:56|20:55:56|WINGS CORP,WINGS CORPORATE 2018 60S|BONUS|0||PT. WINGS SURYA|BINTANG PRATAMA||Play|UseeTV
FAMV|03/12/2018|15:16:37|15:17:37|WINGS CORP,WINGS CORPORATE 2018 60S|BONUS|0||PT. WINGS SURYA|BINTANG PRATAMA||Play|UseeTV
FAMV|03/12/2018|13:15:03|13:16:03|WINGS CORP,WINGS CORPORATE 2018 60S|BONUS|0||PT. WINGS SURYA|BINTANG PRATAMA||Play|UseeTV
FAMV|03/12/2018|11:51:08|11:52:08|WINGS CORP,WINGS CORPORATE 2018 60S|BONUS|0||PT. WINGS SURYA|BINTANG PRATAMA||Play|UseeTV
SONE|03/12/2018|19:31:55|19:32:10|PEGI PEGI,TVC HOTEL TAHUN BARUAN 15S|BONUS|0||PT. GO ONLINE DESTINATIONS|WPP||Play|UseeTV
SONE|03/12/2018|18:36:32|18:37:02|PEGI PEGI,TVC FLIGHT TAHUN BARUAN 30S|BONUS|0||PT. GO ONLINE DESTINATIONS|WPP||Play|UseeTV
SONE|03/12/2018|13:25:23|13:25:38|PEGI PEGI,TVC FLIGHT TAHUN BARUAN 15S|BONUS|0||PT. GO ONLINE DESTINATIONS|WPP||Play|UseeTV
BEI1|03/12/2018|01:16:38|01:17:08|DJARUM SUPER, VOLCANO DAY 30S|BONUS|0||PT DJARUM|MEGAPRO||Play|UseeTV
BEI1|03/12/2018|00:05:06|00:05:36|DJARUM SUPER, VOLCANO DAY 30S|BONUS|0||PT DJARUM|MEGAPRO||Play|UseeTV
AXNC|03/12/2018|22:36:35|22:37:05|PEGI PEGI,TVC HOTEL TAHUN BARUAN 30S|BONUS|0||PT. GO ONLINE DESTINATIONS|WPP||Play|UseeTV
AXNC|03/12/2018|21:43:32|21:43:47|PEGI PEGI,TVC HOTEL TAHUN BARUAN 15S|BONUS|0||PT. GO ONLINE DESTINATIONS|WPP||Play|UseeTV
AXNC|03/12/2018|14:28:00|14:28:15|PEGI PEGI,TVC FLIGHT TAHUN BARUAN 15S|BONUS|0||PT. GO ONLINE DESTINATIONS|WPP||Play|UseeTV
